source_path,target_path,confidence,matched_rule,old_title,new_title
0.DailyNotes\0.mindset\个人思维源码生成库.md,2.Topics/认知科学/思维模型/个人思维源码生成库.md,MANUAL,0.mindset-批量调整,个人思维源码生成库.md,个人思维源码生成库.md
0.DailyNotes\0.mindset\个人效能白皮书.md,2.Topics/个人效能/生产力系统/个人效能白皮书.md,MANUAL,0.mindset-批量调整,个人效能白皮书.md,个人效能白皮书.md
0.DailyNotes\0.mindset\临时笔记→常青笔记转化.md,2.Topics/认知科学/学习系统/临时笔记→常青笔记转化.md,MANUAL,0.mindset-批量调整,临时笔记→常青笔记转化.md,临时笔记→常青笔记转化.md
0.DailyNotes\0.mindset\产品经理具体职责及常规交付件.md,2.Topics/创业与产品/产品方法论/产品经理具体职责及常规交付件.md,MANUAL,0.mindset-批量调整,产品经理具体职责及常规交付件.md,产品经理具体职责及常规交付件.md
0.DailyNotes\0.mindset\产品经理都有哪些常用方法论.md,2.Topics/创业与产品/产品方法论/产品经理都有哪些常用方法论.md,MANUAL,0.mindset-批量调整,产品经理都有哪些常用方法论.md,产品经理都有哪些常用方法论.md
0.DailyNotes\0.mindset\人类情绪能量表：OS情绪监控模块.md,2.Topics/认知科学/思维模型/人类情绪能量表：OS情绪监控模块.md,MANUAL,0.mindset-批量调整,人类情绪能量表：OS情绪监控模块.md,人类情绪能量表：OS情绪监控模块.md
0.DailyNotes\0.mindset\代码与笔记中的品味.md,2.Topics/认知科学/学习系统/代码与笔记中的品味.md,HIGH,F4-笔记,代码与笔记中的品味.md,代码与笔记中的品味.md
0.DailyNotes\0.mindset\任务层级.md,2.Topics/Coding/工程实践/任务层级.md,MEDIUM,D2-内容关键词,任务层级.md,任务层级.md
0.DailyNotes\0.mindset\优秀Youtube推荐.md,UNCATEGORIZED\优秀Youtube推荐.md,LOW,未匹配任何规则,优秀Youtube推荐.md,优秀Youtube推荐.md
0.DailyNotes\0.mindset\作品意识.md,2.Topics/Coding/工程实践/作品意识.md,MEDIUM,D2-内容关键词,作品意识.md,作品意识.md
0.DailyNotes\0.mindset\信息到能力：知识工程的系统化框架.md,UNCATEGORIZED\信息到能力：知识工程的系统化框架.md,LOW,未匹配任何规则,信息到能力：知识工程的系统化框架.md,信息到能力：知识工程的系统化框架.md
0.DailyNotes\0.mindset\先优化内核，再设计API.md,2.Topics/Coding/工程实践/先优化内核，再设计API.md,MEDIUM,D2-内容关键词,先优化内核，再设计API.md,先优化内核，再设计API.md
0.DailyNotes\0.mindset\关注圈 vs 影响力圈.md,UNCATEGORIZED\关注圈 vs 影响力圈.md,LOW,未匹配任何规则,关注圈 vs 影响力圈.md,关注圈 vs 影响力圈.md
0.DailyNotes\0.mindset\关系 × 社交 × 设计 × 金钱.md,UNCATEGORIZED\关系 × 社交 × 设计 × 金钱.md,LOW,未匹配任何规则,关系 × 社交 × 设计 × 金钱.md,关系 × 社交 × 设计 × 金钱.md
0.DailyNotes\0.mindset\具体笔记框架的实际运用(模板).md,2.Topics/认知科学/学习系统/具体笔记框架的实际运用(模板).md,MANUAL,0.mindset-批量调整,具体笔记框架的实际运用(模板).md,具体笔记框架的实际运用(模板).md
0.DailyNotes\0.mindset\决策艺术与科学.md,2.Topics/认知科学/思维模型/决策艺术与科学.md,HIGH,F1-决策,决策艺术与科学.md,决策艺术与科学.md
0.DailyNotes\0.mindset\分子级卡片盒.md,2.Topics/写作与英语/写作技巧/分子级卡片盒.md,MEDIUM,I2-内容关键词,分子级卡片盒.md,分子级卡片盒.md
0.DailyNotes\0.mindset\创新发明范式-TRIZ 理论.md,UNCATEGORIZED\创新发明范式-TRIZ 理论.md,LOW,未匹配任何规则,创新发明范式-TRIZ 理论.md,创新发明范式-TRIZ 理论.md
"0.DailyNotes\0.mindset\剪辑工作流-产品如活物,用者无机心.md","2.Topics/Coding/工程实践/剪辑工作流-产品如活物,用者无机心.md",MEDIUM,D2-内容关键词,"剪辑工作流-产品如活物,用者无机心.md","剪辑工作流-产品如活物,用者无机心.md"
0.DailyNotes\0.mindset\勾玄提要四步法.md,UNCATEGORIZED\勾玄提要四步法.md,LOW,未匹配任何规则,勾玄提要四步法.md,勾玄提要四步法.md
0.DailyNotes\0.mindset\原理先行.md,2.Topics/Coding/数据库与存储/原理先行.md,MEDIUM,E2-内容关键词,原理先行.md,原理先行.md
0.DailyNotes\0.mindset\复利效应.md,2.Topics/Coding/工程实践/复利效应.md,MEDIUM,D2-内容关键词,复利效应.md,复利效应.md
0.DailyNotes\0.mindset\如何为开源项目贡献你的第一个PR.md,2.Topics/Coding/工程实践/如何为开源项目贡献你的第一个PR.md,HIGH,D1-开源,如何为开源项目贡献你的第一个PR.md,如何为开源项目贡献你的第一个PR.md
0.DailyNotes\0.mindset\如何培养真正的专家特质.md,UNCATEGORIZED\如何培养真正的专家特质.md,LOW,未匹配任何规则,如何培养真正的专家特质.md,如何培养真正的专家特质.md
0.DailyNotes\0.mindset\如何增强笔记内容的可提取性.md,2.Topics/认知科学/学习系统/如何增强笔记内容的可提取性.md,MANUAL,0.mindset-批量调整,如何增强笔记内容的可提取性.md,如何增强笔记内容的可提取性.md
0.DailyNotes\0.mindset\如何学习一门编程语言.md,2.Topics/认知科学/学习系统/如何学习一门编程语言.md,MANUAL,0.mindset-批量调整,如何学习一门编程语言.md,如何学习一门编程语言.md
0.DailyNotes\0.mindset\如何构建知识质量飞轮.md,2.Topics/Coding/工程实践/如何构建知识质量飞轮.md,MEDIUM,D2-内容关键词,如何构建知识质量飞轮.md,如何构建知识质量飞轮.md
0.DailyNotes\0.mindset\如何进行逐字稿优化.md,2.Topics/Coding/AI与大模型/如何进行逐字稿优化.md,HIGH,C2-Prompt,如何进行逐字稿优化.md,如何进行逐字稿优化.md
0.DailyNotes\0.mindset\对话.md,2.Topics/Coding/工程实践/对话.md,MEDIUM,D2-内容关键词,对话.md,对话.md
0.DailyNotes\0.mindset\尽量避免选用行业报告类资料.md,2.Topics/Coding/AI与大模型/尽量避免选用行业报告类资料.md,HIGH,C2-Prompt,尽量避免选用行业报告类资料.md,尽量避免选用行业报告类资料.md
0.DailyNotes\0.mindset\山洞困局保命参考.md,2.Topics/Coding/工程实践/山洞困局保命参考.md,MEDIUM,D2-内容关键词,山洞困局保命参考.md,山洞困局保命参考.md
0.DailyNotes\0.mindset\工具倒逼思考.md,2.Topics/写作与英语/写作技巧/工具倒逼思考.md,MEDIUM,I2-内容关键词,工具倒逼思考.md,工具倒逼思考.md
0.DailyNotes\0.mindset\工具链与编排框架.md,2.Topics/Coding/工程实践/工具链与编排框架.md,MEDIUM,D2-内容关键词,工具链与编排框架.md,工具链与编排框架.md
0.DailyNotes\0.mindset\工程学素养-Notion Personal OS.md,2.Topics/Coding/工程实践/工程学素养-Notion Personal OS.md,MEDIUM,D2-内容关键词,工程学素养-Notion Personal OS.md,工程学素养-Notion Personal OS.md
0.DailyNotes\0.mindset\工程师效能手册.md,2.Topics/Coding/工程实践/工程师效能手册.md,MEDIUM,D2-内容关键词,工程师效能手册.md,工程师效能手册.md
0.DailyNotes\0.mindset\工程师的时间不变资产.md,2.Topics/Coding/工程实践/工程师的时间不变资产.md,MEDIUM,D2-内容关键词,工程师的时间不变资产.md,工程师的时间不变资产.md
0.DailyNotes\0.mindset\归纳与抽象.md,2.Topics/认知科学/思维模型/归纳与抽象.md,HIGH,F1-抽象,归纳与抽象.md,归纳与抽象.md
0.DailyNotes\0.mindset\快速提升提问质量的10大实战练习.md,UNCATEGORIZED\快速提升提问质量的10大实战练习.md,LOW,未匹配任何规则,快速提升提问质量的10大实战练习.md,快速提升提问质量的10大实战练习.md
0.DailyNotes\0.mindset\思维格栅 (Latticework).md,2.Topics/认知科学/思维模型/思维格栅 (Latticework).md,HIGH,F1-思维,思维格栅 (Latticework).md,思维格栅 (Latticework).md
0.DailyNotes\0.mindset\思维模型：优化思考的实用工具箱.md,2.Topics/Coding/工程实践/思维模型：优化思考的实用工具箱.md,MEDIUM,D2-内容关键词,思维模型：优化思考的实用工具箱.md,思维模型：优化思考的实用工具箱.md
0.DailyNotes\0.mindset\思考链与建模案例.md,2.Topics/Coding/工程实践/思考链与建模案例.md,MEDIUM,D2-内容关键词,思考链与建模案例.md,思考链与建模案例.md
0.DailyNotes\0.mindset\性格五因素模型.md,2.Topics/认知科学/思维模型/性格五因素模型.md,HIGH,F1-模型,性格五因素模型.md,性格五因素模型.md
0.DailyNotes\0.mindset\愤怒的猴子与货物崇拜.md,2.Topics/Coding/工程实践/愤怒的猴子与货物崇拜.md,MEDIUM,D2-内容关键词,愤怒的猴子与货物崇拜.md,愤怒的猴子与货物崇拜.md
0.DailyNotes\0.mindset\慢生活的科学辩护与实践策略.md,2.Topics/Coding/工程实践/慢生活的科学辩护与实践策略.md,MEDIUM,D2-内容关键词,慢生活的科学辩护与实践策略.md,慢生活的科学辩护与实践策略.md
0.DailyNotes\0.mindset\战略阅读.md,2.Topics/Coding/工程实践/战略阅读.md,MEDIUM,D2-内容关键词,战略阅读.md,战略阅读.md
0.DailyNotes\0.mindset\技术博客写作与发布 (SOP).md,2.Topics/写作与英语/写作技巧/技术博客写作与发布 (SOP).md,MANUAL,0.mindset-批量调整,技术博客写作与发布 (SOP).md,技术博客写作与发布 (SOP).md
0.DailyNotes\0.mindset\抽象重构与设计模式.md,2.Topics/Coding/工程实践/抽象重构与设计模式.md,MEDIUM,D2-内容关键词,抽象重构与设计模式.md,抽象重构与设计模式.md
0.DailyNotes\0.mindset\数据库要点.md,2.Topics/Coding/工程实践/数据库要点.md,MEDIUM,D2-内容关键词,数据库要点.md,数据库要点.md
0.DailyNotes\0.mindset\数据追踪与量化.md,UNCATEGORIZED\数据追踪与量化.md,LOW,未匹配任何规则,数据追踪与量化.md,数据追踪与量化.md
0.DailyNotes\0.mindset\智能 Agent 架构关键范式.md,2.Topics/Coding/系统设计/智能 Agent 架构关键范式.md,HIGH,B1-架构,智能 Agent 架构关键范式.md,智能 Agent 架构关键范式.md
0.DailyNotes\0.mindset\未来更有价值的特质技能.md,UNCATEGORIZED\未来更有价值的特质技能.md,LOW,未匹配任何规则,未来更有价值的特质技能.md,未来更有价值的特质技能.md
0.DailyNotes\0.mindset\机器学习算法.md,2.Topics/Coding/语言指南/机器学习算法.md,MANUAL,0.mindset-批量调整,机器学习算法.md,机器学习算法.md
0.DailyNotes\0.mindset\核心竞争力构建系统.md,UNCATEGORIZED\核心竞争力构建系统.md,LOW,未匹配任何规则,核心竞争力构建系统.md,核心竞争力构建系统.md
0.DailyNotes\0.mindset\洞见系列.md,2.Topics/认知科学/思维模型/洞见系列.md,MANUAL,0.mindset-批量调整,洞见系列.md,洞见系列.md
0.DailyNotes\0.mindset\深度工作-精英水平产出的能力.md,2.Topics/个人效能/生产力系统/深度工作-精英水平产出的能力.md,MANUAL,0.mindset-批量调整,深度工作-精英水平产出的能力.md,深度工作-精英水平产出的能力.md
0.DailyNotes\0.mindset\深度工作调度理念.md,2.Topics/个人效能/生产力系统/深度工作调度理念.md,MANUAL,0.mindset-批量调整,深度工作调度理念.md,深度工作调度理念.md
0.DailyNotes\0.mindset\溝通中常見的問題及解決策略.md,2.Topics/个人效能/职业发展/溝通中常見的問題及解決策略.md,MANUAL,0.mindset-批量调整,溝通中常見的問題及解決策略.md,溝通中常見的問題及解決策略.md
0.DailyNotes\0.mindset\特朗普决策心理模型.md,2.Topics/认知科学/思维模型/特朗普决策心理模型.md,MANUAL,0.mindset-批量调整,特朗普决策心理模型.md,特朗普决策心理模型.md
0.DailyNotes\0.mindset\用户分层运营SOP：从战略到精细化执行的完整指南.md,2.Topics/创业与产品/产品方法论/用户分层运营SOP：从战略到精细化执行的完整指南.md,MANUAL,0.mindset-批量调整,用户分层运营SOP：从战略到精细化执行的完整指南.md,用户分层运营SOP：从战略到精细化执行的完整指南.md
0.DailyNotes\0.mindset\目标驱动下的系统性问题解决.md,2.Topics/认知科学/思维模型/目标驱动下的系统性问题解决.md,MANUAL,0.mindset-批量调整,目标驱动下的系统性问题解决.md,目标驱动下的系统性问题解决.md
0.DailyNotes\0.mindset\目标驱动系统.md,2.Topics/认知科学/思维模型/目标驱动系统.md,MANUAL,0.mindset-批量调整,目标驱动系统.md,目标驱动系统.md
0.DailyNotes\0.mindset\研究式学习法.md,2.Topics/认知科学/学习系统/研究式学习法.md,MANUAL,0.mindset-批量调整,研究式学习法.md,研究式学习法.md
0.DailyNotes\0.mindset\社科理论核心思想.md,UNCATEGORIZED\社科理论核心思想.md,LOW,未匹配任何规则,社科理论核心思想.md,社科理论核心思想.md
0.DailyNotes\0.mindset\程序员的“费曼学习法”：如何高效学习并掌握一门新技术？.md,2.Topics/认知科学/学习系统/程序员的“费曼学习法”：如何高效学习并掌握一门新技术？.md,MANUAL,0.mindset-批量调整,程序员的“费曼学习法”：如何高效学习并掌握一门新技术？.md,程序员的“费曼学习法”：如何高效学习并掌握一门新技术？.md
0.DailyNotes\0.mindset\笔记品味的修炼.md,2.Topics/认知科学/学习系统/笔记品味的修炼.md,MANUAL,0.mindset-批量调整,笔记品味的修炼.md,笔记品味的修炼.md
0.DailyNotes\0.mindset\精准提问代替模糊抱怨.md,2.Topics/认知科学/思维模型/精准提问代替模糊抱怨.md,MANUAL,0.mindset-批量调整,精准提问代替模糊抱怨.md,精准提问代替模糊抱怨.md
0.DailyNotes\0.mindset\精力管理vs时间管理：生产力防御协议.md,2.Topics/个人效能/生产力系统/精力管理vs时间管理：生产力防御协议.md,MANUAL,0.mindset-批量调整,精力管理vs时间管理：生产力防御协议.md,精力管理vs时间管理：生产力防御协议.md
0.DailyNotes\0.mindset\精彩短视频节目策划稿.md,2.Topics/创业与产品/商业模式/精彩短视频节目策划稿.md,MANUAL,0.mindset-批量调整,精彩短视频节目策划稿.md,精彩短视频节目策划稿.md
0.DailyNotes\0.mindset\精英团队基因映射.md,2.Topics/个人效能/职业发展/精英团队基因映射.md,MANUAL,0.mindset-批量调整,精英团队基因映射.md,精英团队基因映射.md
0.DailyNotes\0.mindset\系统思考速查手册.md,2.Topics/认知科学/思维模型/系统思考速查手册.md,MANUAL,0.mindset-批量调整,系统思考速查手册.md,系统思考速查手册.md
0.DailyNotes\0.mindset\纽约客笔记架构优化建议.md,2.Topics/认知科学/学习系统/纽约客笔记架构优化建议.md,MANUAL,0.mindset-批量调整,纽约客笔记架构优化建议.md,纽约客笔记架构优化建议.md
0.DailyNotes\0.mindset\练习的效率.md,2.Topics/个人效能/生产力系统/练习的效率.md,MANUAL,0.mindset-批量调整,练习的效率.md,练习的效率.md
0.DailyNotes\0.mindset\职场有效沟通简报.md,2.Topics/个人效能/职业发展/职场有效沟通简报.md,MANUAL,0.mindset-批量调整,职场有效沟通简报.md,职场有效沟通简报.md
0.DailyNotes\0.mindset\能力复利链.md,2.Topics/个人效能/生产力系统/能力复利链.md,MANUAL,0.mindset-批量调整,能力复利链.md,能力复利链.md
0.DailyNotes\0.mindset\良好品德共识.md,2.Topics/个人效能/职业发展/良好品德共识.md,MANUAL,0.mindset-批量调整,良好品德共识.md,良好品德共识.md
0.DailyNotes\0.mindset\英语习得的高 ROI 协议：从幻觉学习到肌肉记忆.md,2.Topics/写作与英语/英语学习/英语习得的高 ROI 协议：从幻觉学习到肌肉记忆.md,MANUAL,0.mindset-批量调整,英语习得的高 ROI 协议：从幻觉学习到肌肉记忆.md,英语习得的高 ROI 协议：从幻觉学习到肌肉记忆.md
0.DailyNotes\0.mindset\见解-模式-解决方案.md,2.Topics/认知科学/思维模型/见解-模式-解决方案.md,MANUAL,0.mindset-批量调整,见解-模式-解决方案.md,见解-模式-解决方案.md
0.DailyNotes\0.mindset\视觉模型运用场景.md,2.Topics/认知科学/思维模型/视觉模型运用场景.md,MANUAL,0.mindset-批量调整,视觉模型运用场景.md,视觉模型运用场景.md
0.DailyNotes\0.mindset\认知系统重构.md,2.Topics/认知科学/思维模型/认知系统重构.md,MANUAL,0.mindset-批量调整,认知系统重构.md,认知系统重构.md
0.DailyNotes\0.mindset\谷歌工程师的财富增长之道.md,2.Topics/个人效能/职业发展/谷歌工程师的财富增长之道.md,MANUAL,0.mindset-批量调整,谷歌工程师的财富增长之道.md,谷歌工程师的财富增长之道.md
0.DailyNotes\0.mindset\资本思维与决策博弈意识.md,2.Topics/创业与产品/商业模式/资本思维与决策博弈意识.md,MANUAL,0.mindset-批量调整,资本思维与决策博弈意识.md,资本思维与决策博弈意识.md
0.DailyNotes\0.mindset\资深程序员的惯用习惯.md,2.Topics/个人效能/职业发展/资深程序员的惯用习惯.md,MANUAL,0.mindset-批量调整,资深程序员的惯用习惯.md,资深程序员的惯用习惯.md
0.DailyNotes\0.mindset\跨文化技术领导力.md,2.Topics/个人效能/职业发展/跨文化技术领导力.md,MANUAL,0.mindset-批量调整,跨文化技术领导力.md,跨文化技术领导力.md
0.DailyNotes\0.mindset\逆境突围协议：单点聚焦与暴力闭环.md,2.Topics/个人效能/生产力系统/逆境突围协议：单点聚焦与暴力闭环.md,MANUAL,0.mindset-批量调整,逆境突围协议：单点聚焦与暴力闭环.md,逆境突围协议：单点聚焦与暴力闭环.md
0.DailyNotes\0.mindset\逐字稿改写规范.md,2.Topics/写作与英语/写作技巧/逐字稿改写规范.md,MANUAL,0.mindset-批量调整,逐字稿改写规范.md,逐字稿改写规范.md
0.DailyNotes\0.mindset\逐字稿风格：高转化脚本架构指南.md,2.Topics/写作与英语/写作技巧/逐字稿风格：高转化脚本架构指南.md,MANUAL,0.mindset-批量调整,逐字稿风格：高转化脚本架构指南.md,逐字稿风格：高转化脚本架构指南.md
0.DailyNotes\0.mindset\钢铁人论证法.md,2.Topics/认知科学/思维模型/钢铁人论证法.md,MANUAL,0.mindset-批量调整,钢铁人论证法.md,钢铁人论证法.md
0.DailyNotes\0.mindset\问对问题的前提.md,2.Topics/认知科学/思维模型/问对问题的前提.md,MANUAL,0.mindset-批量调整,问对问题的前提.md,问对问题的前提.md
0.DailyNotes\0.mindset\阶段性成果驱动的学习路径.md,2.Topics/认知科学/学习系统/阶段性成果驱动的学习路径.md,MANUAL,0.mindset-批量调整,阶段性成果驱动的学习路径.md,阶段性成果驱动的学习路径.md
0.DailyNotes\0.mindset\香港高中生（DSE 群体）的精选粤语表达词组表.md,2.Topics/写作与英语/英语学习/香港高中生（DSE 群体）的精选粤语表达词组表.md,MANUAL,0.mindset-批量调整,香港高中生（DSE 群体）的精选粤语表达词组表.md,香港高中生（DSE 群体）的精选粤语表达词组表.md
0.DailyNotes\0.mindset\高强度学习项目选型.md,2.Topics/认知科学/学习系统/高强度学习项目选型.md,MANUAL,0.mindset-批量调整,高强度学习项目选型.md,高强度学习项目选型.md
0.DailyNotes\0.mindset\高效沟通与极简练习协议.md,2.Topics/个人效能/职业发展/高效沟通与极简练习协议.md,MANUAL,0.mindset-批量调整,高效沟通与极简练习协议.md,高效沟通与极简练习协议.md
0.DailyNotes\0.mindset\高质量Question环节训练系统.md,2.Topics/认知科学/思维模型/高质量Question环节训练系统.md,MANUAL,0.mindset-批量调整,高质量Question环节训练系统.md,高质量Question环节训练系统.md
