source,target,old_title,new_title
0.DailyNotes\0.mindset\2025-12-04-系统设计文档与 PRD、Spec.md,2.Topics\Coding\系统设计\系统设计文档与 PRD、Spec.md,2025-12-04-系统设计文档与 PRD、Spec.md,系统设计文档与 PRD、Spec.md
0.DailyNotes\0.mindset\2025-12-13-学习知识库架构.md,2.Topics\Coding\系统设计\学习知识库架构.md,2025-12-13-学习知识库架构.md,学习知识库架构.md
0.DailyNotes\0.mindset\2025-W14.md,0.DailyNotes\特殊文件\2025-W14.md,2025-W14.md,2025-W14.md
0.DailyNotes\0.mindset\5级DES高分写作用语习惯.md,2.Topics\写作与英语\英语学习\5级DES高分写作用语习惯.md,5级DES高分写作用语习惯.md,5级DES高分写作用语习惯.md
0.DailyNotes\0.mindset\AI协作作战手册设计规范 v1.0.md,2.Topics\Coding\AI与大模型\AI协作作战手册设计规范 v1.0.md,AI协作作战手册设计规范 v1.0.md,AI协作作战手册设计规范 v1.0.md
0.DailyNotes\0.mindset\Arc-将蓝图细化为具体的装配指令.md,2.Topics\Coding\AI与大模型\Arc-将蓝图细化为具体的装配指令.md,Arc-将蓝图细化为具体的装配指令.md,Arc-将蓝图细化为具体的装配指令.md
0.DailyNotes\0.mindset\CheeryStudio自反能力提示词生成器.md,2.Topics\Coding\AI与大模型\CheeryStudio自反能力提示词生成器.md,CheeryStudio自反能力提示词生成器.md,CheeryStudio自反能力提示词生成器.md
0.DailyNotes\0.mindset\DSE 英文写作结构公式.md,2.Topics\写作与英语\英语学习\DSE 英文写作结构公式.md,DSE 英文写作结构公式.md,DSE 英文写作结构公式.md
0.DailyNotes\0.mindset\Google Gem - Brain Storm.md,2.Topics\Coding\AI与大模型\Google Gem - Brain Storm.md,Google Gem - Brain Storm.md,Google Gem - Brain Storm.md
0.DailyNotes\0.mindset\LOL游戏启示录.md,2.Topics\个人效能\职业发展\LOL游戏启示录.md,LOL游戏启示录.md,LOL游戏启示录.md
0.DailyNotes\0.mindset\Making cool stuff.md,2.Topics\创业与产品\商业模式\Making cool stuff.md,Making cool stuff.md,Making cool stuff.md
0.DailyNotes\0.mindset\ManicTime量化.md,2.Topics\个人效能\生产力系统\ManicTime量化.md,ManicTime量化.md,ManicTime量化.md
"0.DailyNotes\0.mindset\No Magic, Just Code设计哲学.md","2.Topics\Coding\系统设计\No Magic, Just Code设计哲学.md","No Magic, Just Code设计哲学.md","No Magic, Just Code设计哲学.md"
0.DailyNotes\0.mindset\PARACAP项目管理结构.md,2.Topics\创业与产品\产品方法论\PARACAP项目管理结构.md,PARACAP项目管理结构.md,PARACAP项目管理结构.md
0.DailyNotes\0.mindset\PDCA：独立开发者的“个人引擎”升级指南.md,2.Topics\创业与产品\商业模式\PDCA：独立开发者的“个人引擎”升级指南.md,PDCA：独立开发者的“个人引擎”升级指南.md,PDCA：独立开发者的“个人引擎”升级指南.md
0.DailyNotes\0.mindset\Prompt 模板库结构设计.md,2.Topics\Coding\AI与大模型\Prompt 模板库结构设计.md,Prompt 模板库结构设计.md,Prompt 模板库结构设计.md
0.DailyNotes\0.mindset\Task Graph建模适用场景.md,2.Topics\Coding\系统设计\Task Graph建模适用场景.md,Task Graph建模适用场景.md,Task Graph建模适用场景.md
0.DailyNotes\0.mindset\The Trump Business Wisdom Collection.md,2.Topics\创业与产品\商业模式\The Trump Business Wisdom Collection.md,The Trump Business Wisdom Collection.md,The Trump Business Wisdom Collection.md
0.DailyNotes\0.mindset\YAGNI 原则.md,2.Topics\认知科学\思维模型\YAGNI 原则.md,YAGNI 原则.md,YAGNI 原则.md
0.DailyNotes\0.mindset\Youtube开发系主播清单.md,2.Topics\个人效能\职业发展\Youtube开发系主播清单.md,Youtube开发系主播清单.md,Youtube开发系主播清单.md
0.DailyNotes\0.mindset\上下文工程.md,2.Topics\Coding\AI与大模型\上下文工程.md,上下文工程.md,上下文工程.md
0.DailyNotes\0.mindset\上下文工程解析.md,2.Topics\Coding\AI与大模型\上下文工程解析.md,上下文工程解析.md,上下文工程解析.md
0.DailyNotes\0.mindset\不为清单：系统熵增防御协议.md,2.Topics\认知科学\行动协议\不为清单：系统熵增防御协议.md,不为清单：系统熵增防御协议.md,不为清单：系统熵增防御协议.md
0.DailyNotes\0.mindset\专家领域强方法.md,2.Topics\认知科学\思维模型\专家领域强方法.md,专家领域强方法.md,专家领域强方法.md
0.DailyNotes\0.mindset\个人思维源码生成库.md,2.Topics\认知科学\思维模型\个人思维源码生成库.md,个人思维源码生成库.md,个人思维源码生成库.md
0.DailyNotes\0.mindset\个人效能白皮书.md,2.Topics\个人效能\生产力系统\个人效能白皮书.md,个人效能白皮书.md,个人效能白皮书.md
0.DailyNotes\0.mindset\临时笔记→常青笔记转化.md,2.Topics\认知科学\学习系统\临时笔记→常青笔记转化.md,临时笔记→常青笔记转化.md,临时笔记→常青笔记转化.md
0.DailyNotes\0.mindset\产品经理具体职责及常规交付件.md,2.Topics\创业与产品\产品方法论\产品经理具体职责及常规交付件.md,产品经理具体职责及常规交付件.md,产品经理具体职责及常规交付件.md
0.DailyNotes\0.mindset\产品经理都有哪些常用方法论.md,2.Topics\创业与产品\产品方法论\产品经理都有哪些常用方法论.md,产品经理都有哪些常用方法论.md,产品经理都有哪些常用方法论.md
0.DailyNotes\0.mindset\人类情绪能量表：OS情绪监控模块.md,2.Topics\认知科学\思维模型\人类情绪能量表：OS情绪监控模块.md,人类情绪能量表：OS情绪监控模块.md,人类情绪能量表：OS情绪监控模块.md
0.DailyNotes\0.mindset\代码与笔记中的品味.md,2.Topics\认知科学\学习系统\代码与笔记中的品味.md,代码与笔记中的品味.md,代码与笔记中的品味.md
0.DailyNotes\0.mindset\任务层级.md,2.Topics\Coding\工程实践\任务层级.md,任务层级.md,任务层级.md
0.DailyNotes\0.mindset\作品意识.md,2.Topics\Coding\工程实践\作品意识.md,作品意识.md,作品意识.md
0.DailyNotes\0.mindset\先优化内核，再设计API.md,2.Topics\Coding\工程实践\先优化内核，再设计API.md,先优化内核，再设计API.md,先优化内核，再设计API.md
0.DailyNotes\0.mindset\具体笔记框架的实际运用(模板).md,2.Topics\认知科学\学习系统\具体笔记框架的实际运用(模板).md,具体笔记框架的实际运用(模板).md,具体笔记框架的实际运用(模板).md
0.DailyNotes\0.mindset\决策艺术与科学.md,2.Topics\认知科学\思维模型\决策艺术与科学.md,决策艺术与科学.md,决策艺术与科学.md
0.DailyNotes\0.mindset\分子级卡片盒.md,2.Topics\写作与英语\写作技巧\分子级卡片盒.md,分子级卡片盒.md,分子级卡片盒.md
"0.DailyNotes\0.mindset\剪辑工作流-产品如活物,用者无机心.md","2.Topics\Coding\工程实践\剪辑工作流-产品如活物,用者无机心.md","剪辑工作流-产品如活物,用者无机心.md","剪辑工作流-产品如活物,用者无机心.md"
0.DailyNotes\0.mindset\原理先行.md,2.Topics\Coding\数据库与存储\原理先行.md,原理先行.md,原理先行.md
0.DailyNotes\0.mindset\复利效应.md,2.Topics\Coding\工程实践\复利效应.md,复利效应.md,复利效应.md
0.DailyNotes\0.mindset\如何为开源项目贡献你的第一个PR.md,2.Topics\Coding\工程实践\如何为开源项目贡献你的第一个PR.md,如何为开源项目贡献你的第一个PR.md,如何为开源项目贡献你的第一个PR.md
0.DailyNotes\0.mindset\如何增强笔记内容的可提取性.md,2.Topics\认知科学\学习系统\如何增强笔记内容的可提取性.md,如何增强笔记内容的可提取性.md,如何增强笔记内容的可提取性.md
0.DailyNotes\0.mindset\如何学习一门编程语言.md,2.Topics\认知科学\学习系统\如何学习一门编程语言.md,如何学习一门编程语言.md,如何学习一门编程语言.md
0.DailyNotes\0.mindset\如何构建知识质量飞轮.md,2.Topics\Coding\工程实践\如何构建知识质量飞轮.md,如何构建知识质量飞轮.md,如何构建知识质量飞轮.md
0.DailyNotes\0.mindset\如何进行逐字稿优化.md,2.Topics\Coding\AI与大模型\如何进行逐字稿优化.md,如何进行逐字稿优化.md,如何进行逐字稿优化.md
0.DailyNotes\0.mindset\对话.md,2.Topics\Coding\工程实践\对话.md,对话.md,对话.md
0.DailyNotes\0.mindset\尽量避免选用行业报告类资料.md,2.Topics\Coding\AI与大模型\尽量避免选用行业报告类资料.md,尽量避免选用行业报告类资料.md,尽量避免选用行业报告类资料.md
0.DailyNotes\0.mindset\山洞困局保命参考.md,2.Topics\Coding\工程实践\山洞困局保命参考.md,山洞困局保命参考.md,山洞困局保命参考.md
0.DailyNotes\0.mindset\工具倒逼思考.md,2.Topics\写作与英语\写作技巧\工具倒逼思考.md,工具倒逼思考.md,工具倒逼思考.md
0.DailyNotes\0.mindset\工具链与编排框架.md,2.Topics\Coding\工程实践\工具链与编排框架.md,工具链与编排框架.md,工具链与编排框架.md
0.DailyNotes\0.mindset\工程学素养-Notion Personal OS.md,2.Topics\Coding\工程实践\工程学素养-Notion Personal OS.md,工程学素养-Notion Personal OS.md,工程学素养-Notion Personal OS.md
0.DailyNotes\0.mindset\工程师效能手册.md,2.Topics\Coding\工程实践\工程师效能手册.md,工程师效能手册.md,工程师效能手册.md
0.DailyNotes\0.mindset\工程师的时间不变资产.md,2.Topics\Coding\工程实践\工程师的时间不变资产.md,工程师的时间不变资产.md,工程师的时间不变资产.md
0.DailyNotes\0.mindset\归纳与抽象.md,2.Topics\认知科学\思维模型\归纳与抽象.md,归纳与抽象.md,归纳与抽象.md
0.DailyNotes\0.mindset\思维格栅 (Latticework).md,2.Topics\认知科学\思维模型\思维格栅 (Latticework).md,思维格栅 (Latticework).md,思维格栅 (Latticework).md
0.DailyNotes\0.mindset\思维模型：优化思考的实用工具箱.md,2.Topics\Coding\工程实践\思维模型：优化思考的实用工具箱.md,思维模型：优化思考的实用工具箱.md,思维模型：优化思考的实用工具箱.md
0.DailyNotes\0.mindset\思考链与建模案例.md,2.Topics\Coding\工程实践\思考链与建模案例.md,思考链与建模案例.md,思考链与建模案例.md
0.DailyNotes\0.mindset\性格五因素模型.md,2.Topics\认知科学\思维模型\性格五因素模型.md,性格五因素模型.md,性格五因素模型.md
0.DailyNotes\0.mindset\愤怒的猴子与货物崇拜.md,2.Topics\Coding\工程实践\愤怒的猴子与货物崇拜.md,愤怒的猴子与货物崇拜.md,愤怒的猴子与货物崇拜.md
0.DailyNotes\0.mindset\慢生活的科学辩护与实践策略.md,2.Topics\Coding\工程实践\慢生活的科学辩护与实践策略.md,慢生活的科学辩护与实践策略.md,慢生活的科学辩护与实践策略.md
0.DailyNotes\0.mindset\战略阅读.md,2.Topics\Coding\工程实践\战略阅读.md,战略阅读.md,战略阅读.md
0.DailyNotes\0.mindset\技术博客写作与发布 (SOP).md,2.Topics\写作与英语\写作技巧\技术博客写作与发布 (SOP).md,技术博客写作与发布 (SOP).md,技术博客写作与发布 (SOP).md
0.DailyNotes\0.mindset\抽象重构与设计模式.md,2.Topics\Coding\工程实践\抽象重构与设计模式.md,抽象重构与设计模式.md,抽象重构与设计模式.md
0.DailyNotes\0.mindset\数据库要点.md,2.Topics\Coding\工程实践\数据库要点.md,数据库要点.md,数据库要点.md
0.DailyNotes\0.mindset\智能 Agent 架构关键范式.md,2.Topics\Coding\系统设计\智能 Agent 架构关键范式.md,智能 Agent 架构关键范式.md,智能 Agent 架构关键范式.md
0.DailyNotes\0.mindset\机器学习算法.md,2.Topics\Coding\语言指南\机器学习算法.md,机器学习算法.md,机器学习算法.md
0.DailyNotes\0.mindset\洞见系列.md,2.Topics\认知科学\思维模型\洞见系列.md,洞见系列.md,洞见系列.md
0.DailyNotes\0.mindset\深度工作-精英水平产出的能力.md,2.Topics\个人效能\生产力系统\深度工作-精英水平产出的能力.md,深度工作-精英水平产出的能力.md,深度工作-精英水平产出的能力.md
0.DailyNotes\0.mindset\深度工作调度理念.md,2.Topics\个人效能\生产力系统\深度工作调度理念.md,深度工作调度理念.md,深度工作调度理念.md
0.DailyNotes\0.mindset\溝通中常見的問題及解決策略.md,2.Topics\个人效能\职业发展\溝通中常見的問題及解決策略.md,溝通中常見的問題及解決策略.md,溝通中常見的問題及解決策略.md
0.DailyNotes\0.mindset\特朗普决策心理模型.md,2.Topics\认知科学\思维模型\特朗普决策心理模型.md,特朗普决策心理模型.md,特朗普决策心理模型.md
0.DailyNotes\0.mindset\用户分层运营SOP：从战略到精细化执行的完整指南.md,2.Topics\创业与产品\产品方法论\用户分层运营SOP：从战略到精细化执行的完整指南.md,用户分层运营SOP：从战略到精细化执行的完整指南.md,用户分层运营SOP：从战略到精细化执行的完整指南.md
0.DailyNotes\0.mindset\目标驱动下的系统性问题解决.md,2.Topics\认知科学\思维模型\目标驱动下的系统性问题解决.md,目标驱动下的系统性问题解决.md,目标驱动下的系统性问题解决.md
0.DailyNotes\0.mindset\目标驱动系统.md,2.Topics\认知科学\思维模型\目标驱动系统.md,目标驱动系统.md,目标驱动系统.md
0.DailyNotes\0.mindset\研究式学习法.md,2.Topics\认知科学\学习系统\研究式学习法.md,研究式学习法.md,研究式学习法.md
0.DailyNotes\0.mindset\程序员的“费曼学习法”：如何高效学习并掌握一门新技术？.md,2.Topics\认知科学\学习系统\程序员的“费曼学习法”：如何高效学习并掌握一门新技术？.md,程序员的“费曼学习法”：如何高效学习并掌握一门新技术？.md,程序员的“费曼学习法”：如何高效学习并掌握一门新技术？.md
0.DailyNotes\0.mindset\笔记品味的修炼.md,2.Topics\认知科学\学习系统\笔记品味的修炼.md,笔记品味的修炼.md,笔记品味的修炼.md
0.DailyNotes\0.mindset\精准提问代替模糊抱怨.md,2.Topics\认知科学\思维模型\精准提问代替模糊抱怨.md,精准提问代替模糊抱怨.md,精准提问代替模糊抱怨.md
0.DailyNotes\0.mindset\精力管理vs时间管理：生产力防御协议.md,2.Topics\个人效能\生产力系统\精力管理vs时间管理：生产力防御协议.md,精力管理vs时间管理：生产力防御协议.md,精力管理vs时间管理：生产力防御协议.md
0.DailyNotes\0.mindset\精彩短视频节目策划稿.md,2.Topics\创业与产品\商业模式\精彩短视频节目策划稿.md,精彩短视频节目策划稿.md,精彩短视频节目策划稿.md
0.DailyNotes\0.mindset\精英团队基因映射.md,2.Topics\个人效能\职业发展\精英团队基因映射.md,精英团队基因映射.md,精英团队基因映射.md
0.DailyNotes\0.mindset\系统思考速查手册.md,2.Topics\认知科学\思维模型\系统思考速查手册.md,系统思考速查手册.md,系统思考速查手册.md
0.DailyNotes\0.mindset\纽约客笔记架构优化建议.md,2.Topics\认知科学\学习系统\纽约客笔记架构优化建议.md,纽约客笔记架构优化建议.md,纽约客笔记架构优化建议.md
0.DailyNotes\0.mindset\练习的效率.md,2.Topics\个人效能\生产力系统\练习的效率.md,练习的效率.md,练习的效率.md
0.DailyNotes\0.mindset\职场有效沟通简报.md,2.Topics\个人效能\职业发展\职场有效沟通简报.md,职场有效沟通简报.md,职场有效沟通简报.md
0.DailyNotes\0.mindset\能力复利链.md,2.Topics\个人效能\生产力系统\能力复利链.md,能力复利链.md,能力复利链.md
0.DailyNotes\0.mindset\良好品德共识.md,2.Topics\个人效能\职业发展\良好品德共识.md,良好品德共识.md,良好品德共识.md
0.DailyNotes\0.mindset\英语习得的高 ROI 协议：从幻觉学习到肌肉记忆.md,2.Topics\写作与英语\英语学习\英语习得的高 ROI 协议：从幻觉学习到肌肉记忆.md,英语习得的高 ROI 协议：从幻觉学习到肌肉记忆.md,英语习得的高 ROI 协议：从幻觉学习到肌肉记忆.md
0.DailyNotes\0.mindset\见解-模式-解决方案.md,2.Topics\认知科学\思维模型\见解-模式-解决方案.md,见解-模式-解决方案.md,见解-模式-解决方案.md
0.DailyNotes\0.mindset\视觉模型运用场景.md,2.Topics\认知科学\思维模型\视觉模型运用场景.md,视觉模型运用场景.md,视觉模型运用场景.md
0.DailyNotes\0.mindset\认知系统重构.md,2.Topics\认知科学\思维模型\认知系统重构.md,认知系统重构.md,认知系统重构.md
0.DailyNotes\0.mindset\谷歌工程师的财富增长之道.md,2.Topics\个人效能\职业发展\谷歌工程师的财富增长之道.md,谷歌工程师的财富增长之道.md,谷歌工程师的财富增长之道.md
0.DailyNotes\0.mindset\资本思维与决策博弈意识.md,2.Topics\创业与产品\商业模式\资本思维与决策博弈意识.md,资本思维与决策博弈意识.md,资本思维与决策博弈意识.md
0.DailyNotes\0.mindset\资深程序员的惯用习惯.md,2.Topics\个人效能\职业发展\资深程序员的惯用习惯.md,资深程序员的惯用习惯.md,资深程序员的惯用习惯.md
0.DailyNotes\0.mindset\跨文化技术领导力.md,2.Topics\个人效能\职业发展\跨文化技术领导力.md,跨文化技术领导力.md,跨文化技术领导力.md
0.DailyNotes\0.mindset\逆境突围协议：单点聚焦与暴力闭环.md,2.Topics\个人效能\生产力系统\逆境突围协议：单点聚焦与暴力闭环.md,逆境突围协议：单点聚焦与暴力闭环.md,逆境突围协议：单点聚焦与暴力闭环.md
0.DailyNotes\0.mindset\逐字稿改写规范.md,2.Topics\写作与英语\写作技巧\逐字稿改写规范.md,逐字稿改写规范.md,逐字稿改写规范.md
0.DailyNotes\0.mindset\逐字稿风格：高转化脚本架构指南.md,2.Topics\写作与英语\写作技巧\逐字稿风格：高转化脚本架构指南.md,逐字稿风格：高转化脚本架构指南.md,逐字稿风格：高转化脚本架构指南.md
0.DailyNotes\0.mindset\钢铁人论证法.md,2.Topics\认知科学\思维模型\钢铁人论证法.md,钢铁人论证法.md,钢铁人论证法.md
0.DailyNotes\0.mindset\问对问题的前提.md,2.Topics\认知科学\思维模型\问对问题的前提.md,问对问题的前提.md,问对问题的前提.md
0.DailyNotes\0.mindset\阶段性成果驱动的学习路径.md,2.Topics\认知科学\学习系统\阶段性成果驱动的学习路径.md,阶段性成果驱动的学习路径.md,阶段性成果驱动的学习路径.md
0.DailyNotes\0.mindset\香港高中生（DSE 群体）的精选粤语表达词组表.md,2.Topics\写作与英语\英语学习\香港高中生（DSE 群体）的精选粤语表达词组表.md,香港高中生（DSE 群体）的精选粤语表达词组表.md,香港高中生（DSE 群体）的精选粤语表达词组表.md
0.DailyNotes\0.mindset\高强度学习项目选型.md,2.Topics\认知科学\学习系统\高强度学习项目选型.md,高强度学习项目选型.md,高强度学习项目选型.md
0.DailyNotes\0.mindset\高效沟通与极简练习协议.md,2.Topics\个人效能\职业发展\高效沟通与极简练习协议.md,高效沟通与极简练习协议.md,高效沟通与极简练习协议.md
0.DailyNotes\0.mindset\高质量Question环节训练系统.md,2.Topics\认知科学\思维模型\高质量Question环节训练系统.md,高质量Question环节训练系统.md,高质量Question环节训练系统.md
