文件名,重要性评分,分类,子分类,优化建议,应用场景,不适合场景,质量评级,重复度,理由
知识架构师：对笔记进行深度重构与升华.md,5,学习,方法论,保留,知识体系化与价值提炼,快速信息获取,高,高,四层重构架构，功能最完整
首席技术专家.md,5,角色,技术,保留,技术知识的专业化表达,非技术内容,高,低,四维重构模型，技术专用
首席战略架构师.md,5,角色,管理,保留,商业逻辑与战略思维,专业技术处理,高,低,归纳推理四阶梯，战略专用
苏格拉底式提问.md,5,框架,提问,保留,深度思考与逻辑验证,表层信息处理,高,中,五维思维审计框架
交互式苏格拉底诘问引擎.md,5,框架,提问,保留,高认知压力测试,初学者教育,高,中,两阶段认知压力测试
费曼学习法教学专家.md,5,学习,方法论,保留,知识简化与教学,复杂专业术语解析,高,低,费曼技术知识审计
Zettelkasten 卡片生成器.md,5,工具,笔记管理,保留,原子化知识构建,整体性内容处理,高,低,完整元数据规范
代码审查专家.md,5,技能,编程,保留,代码质量分析,非代码内容,高,低,三种版本综合框架
深度复盘私人教练.md,4,框架,反思,保留,项目复盘与反思,客观信息处理,高,低,动机-路径-约束模型
Role_CEO沉浸式模拟版.md,4,角色,管理,保留,高压力决策模拟,常规信息处理,高,低,三种执行模式
Cheat Sheet.md,4,工具,结构化,保留,知识可视化与速查,思维发散性内容,高,中,三种模式笔记重构
Anki闪卡.md,4,工具,记忆辅助,保留,高价值知识记忆,基础信息收集,中,高,基于二八定律
知识架构师.md,3,学习,方法论,合并到高级版,基础知识重构,深度重构需求,中,高,是高级版的基础版本
TL;DR summary.md,3,工具,摘要,保留,极致简洁内容提炼,需要上下文的信息,中,中,单段TL;DR总结
200字卡片笔记.md,3,工具,笔记管理,明确独特价值,快速卡片笔记,深度知识构建,中,中,与Zettelkasten有重叠
01清晰度架构师.md,3,框架,思维,保留,逻辑重构与提升信噪比,简单信息整理,中,中,剃刀法则+结构显化
Anki 闪卡生成器和知识萃取专家-flashcard语法.md,3,工具,记忆辅助,合并,专业闪卡制作,日常信息记录,中,高,与Anki闪卡80%重复
04推理扩展.md,3,框架,推理,保留,逻辑推理扩展,事实性信息处理,中,中,推理能力增强
10%核心要素识别.md,3,工具,分析,保留,关键要素提取,整体性内容,中,低,二八定律应用
11费曼第一原理排除法.md,3,学习,方法论,保留,第一性原理思考,复杂系统处理,中,低,费曼技术+第一性原理
AI writing tutor.md,3,角色,教育,保留,写作辅导,技术内容审查,中,低,NLP工具+修辞知识
AI 诤友.md,3,角色,反馈,保留,批判性反馈,正面鼓励场景,中,低,直言不讳的反馈
C-level知识架构顾问-Fits-in核查.md,4,框架,知识管理,保留,知识体系嵌入评估,非知识体系内容,高,中,Fits-in核查框架
Canvas笔记生成器.md,3,工具,笔记,保留,Canvas笔记结构化,文本笔记,中,低,Canvas专用
CEFR语用能力评估.md,2,角色,语言,考虑删除,英语能力评估,非英语内容,中,低,特定场景工具
PALC结构分析器.md,3,框架,分析,保留,PALC结构分析,非结构化内容,中,低,PALC方法论
PERE元认知引擎-结构化目标.md,3,框架,目标,保留,结构化目标设定,开放性目标,中,低,PERE模型
PracticalExample.md,2,工具,示例,考虑删除,生成实用示例,理论性内容,低,高,功能简单
PRD全链路分析与设计.md,4,角色,产品,保留,PRD设计与分析,非产品相关,高,低,产品需求专用
ReAct AI执行代理.md,3,框架,执行,保留,推理-行动循环,静态信息处理,中,低,ReAct模式
Remove URLs.md,2,工具,文本处理,考虑删除,移除URL链接,需要保留链接,低,高,功能过于单一
Rewrite as press release.md,2,工具,重写,考虑删除,新闻稿重写,其他格式内容,低,高,特定格式重写
Rewrite as tweet.md,2,工具,重写,考虑删除,Tweet重写,长内容,低,高,社交媒体专用
Role_ 资深全栈架构师 (GolangAngular).md,3,角色,技术,保留,Golang/Angular架构,非技术栈内容,中,低,特定技术栈
Role_CEO沉浸式模拟版.md,4,角色,管理,保留,CEO危机响应模拟,常规信息处理,高,低,决策模拟
Role_YouTube video analyst.md,2,角色,媒体,考虑删除,YouTube视频分析,非视频内容,低,高,特定平台专用
Role_心理医生.md,3,角色,健康,保留,心理健康支持,技术性问题,中,低,心理咨询
Role_提示词增强_Senior Prompt Engineering Consultant.md,4,角色,AI工程,保留,提示词优化,非提示词相关,高,低,提示词工程
Role_网站设计顾问.md,3,角色,设计,保留,网站设计咨询,非设计内容,中,低,网站设计专用
SCQRA提问框架.md,3,框架,提问,保留,SCQRA提问,非结构化问题,中,中,提问方法论
Simplify.md,2,工具,简化,考虑删除,文本简化,需要保持详细,低,高,功能过于简单
Storyteller.md,3,工具,故事,合并到高级版,基础故事生成,复杂叙事需求,中,高,被高级版覆盖
Steve Jobs (Visionary Storyteller).md,3,角色,演讲,保留,愿景式讲故事,非演讲场景,中,低,特定风格
Summarize.md,2,工具,摘要,删除,快速要点提取,需要详细分析,低,高,被Cheat Sheet覆盖
ToT策略优化.md,3,框架,推理,保留,思维树优化,简单推理,中,中,ToT算法
TodoList.md,3,工具,任务,保留,任务列表生成,非任务型内容,中,中,任务管理
Top1%程序员的硬核视角与逻辑思维.md,4,角色,技术,保留,CS思维分析,非技术内容,高,低,计算机科学思维
Wiki双向链接生成器.md,2,工具,链接,考虑删除,Wiki链接生成,非Wiki环境,低,高,特定格式
a straightforward tone.md,2,工具,文风,考虑删除,直白文风改写,需要委婉表达,低,高,单一文风调整
spoken English teacher and improver.md,3,角色,语言,保留,英语口语提升,书面英语,中,低,英语教学
storyteller-结构化故事生成引擎.md,4,工具,故事,保留,结构化故事生成,简单故事,高,中,高级故事生成
web design consultant.md,3,角色,设计,保留,网页设计咨询,非设计内容,中,低,与Role_网站设计重复
Zettelkasten_洞见笔记.md,3,工具,笔记,保留,Zettelkasten洞见提取,非洞见类内容,中,中,洞见专用
一句话论文.md,3,工具,摘要,保留,论文一句话摘要,非学术内容,中,中,学术论文
一页法则战略顾问.md,4,框架,战略,保留,一页纸战略,复杂战略文档,高,低,亚马逊6页纸思维
七剑归宗.md,2,框架,方法论,考虑删除,综合方法论,单一方法场景,低,高,概念过于宽泛
三阶思考.md,3,框架,思维,保留,三阶思维分析,表层思维,中,中,分层思考
上下文工程专家.md,4,角色,AI工程,保留,上下文工程,非AI内容,高,低,上下文优化
上下文工程思维模式应用蓝图生成器.md,4,角色,AI工程,考虑合并,上下文工程蓝图,非AI内容,高,高,与上下文工程专家重复
专业笔记优化助手.md,3,工具,笔记,保留,笔记优化,非笔记内容,中,低,笔记质量提升
专业认知激活提示词创建框架.md,3,角色,AI工程,保留,认知激活框架,非提示词场景,中,低,认知激活
世界 500 强企业首席战略官.md,3,角色,管理,考虑合并,战略规划,非战略场景,中,高,与首席战略架构师重复
两阶段聚焦工作流.md,3,框架,工作流,保留,两阶段聚焦,单阶段任务,中,中,工作流管理
严谨且善于解释的助手附思路与推理过程.md,3,角色,教学,保留,详细解释教学,快速总结场景,中,低,教学专用
个体发展刻意练习理论CLO.md,3,框架,学习,保留,刻意练习,非学习场景,中,中,学习理论
主题追问问题生成器.md,3,工具,提问,保留,主题追问,非主题内容,中,中,追问生成
二八定律+实用主义.md,2,框架,方法论,考虑删除,二八定律应用,非优化场景,低,中,被其他工具覆盖
交互式探索者Lisa.md,3,角色,探索,保留,交互式知识探索,固定知识场景,中,中,探索式学习
交互式苏格拉底诘问引擎.md,5,框架,提问,保留,高认知压力测试,初学者教育,高,中,高级苏格拉底提问
产品经理式问题解决方案.md,3,角色,产品,保留,产品问题解决,非产品场景,中,低,产品管理
代码解释.md,3,技能,编程,保留,代码解释,非代码内容,中,低,代码理解
以 Brian Kernighan 为原型的 AI 助手角色设定.md,3,角色,编程,保留,BK风格编程助手,非编程场景,中,低,特定风格
任务分解专家.md,4,工具,任务,保留,任务分解,非任务型内容,高,中,任务管理
作者认知与方法论审阅者.md,3,角色,审阅,保留,作者认知审阅,非作者内容,中,低,审阅专用
保罗·格雷厄姆PG视角.md,3,角色,观点,保留,PG视角分析,非创业场景,中,低,特定视角
信息助理.md,2,角色,助理,考虑删除,信息处理助理,专业场景,低,高,功能过于泛化
借助已有经验使得抽象概念可感知.md,3,工具,教学,保留,抽象概念具象化,具体概念场景,中,中,教学辅助
元提示词生成器-主题学习拆解 + JOL 打分卡片生成器.md,3,角色,AI工程,考虑重命名,元提示词+JOL评分,非学习场景,中,中,名称过长
元提示词生成器（专业角色）.md,3,角色,AI工程,合并,专业角色元提示词,非角色场景,中,高,与上下文工程重复
全维度批判性审计师.md,4,框架,审计,保留,全维度批判性审计,非审计场景,高,中,批判性思维
关键概念提取与应用路径分析.md,3,工具,分析,保留,关键概念提取,整体性内容,中,中,概念分析
具象角色-刘未鹏.md,2,角色,具体人物,考虑删除,刘未鹏视角,非刘未鹏相关,低,高,特定人物
具象角色-吴军.md,2,角色,具体人物,考虑删除,吴军视角,非吴军相关,低,高,特定人物
具象角色-李笑来.md,2,角色,具体人物,考虑删除,李笑来视角,非李笑来相关,低,高,特定人物
决策科学顾问.md,3,角色,决策,保留,决策科学咨询,非决策场景,中,低,决策理论
分层知识重构引擎.md,3,工具,知识,保留,分层知识重构,单一知识层,中,中,知识重构
分层组织和简化.md,2,工具,组织,考虑删除,分层组织,简单组织,低,高,功能过于简单
分治法笔记重构专家.md,3,工具,笔记,保留,分治法笔记重构,非笔记内容,中,中,分治法应用
利用符号改写提升笔记CP值.md,2,工具,笔记,考虑删除,符号改写,无符号需求,低,中,特定场景
加入幽默感.md,2,工具,文风,考虑删除,增加幽默感,严肃场景,低,高,特定文风
动态规划知识架构师.md,3,角色,算法,保留,动态规划架构,非算法内容,中,低,算法专用
升维思考.md,3,框架,思维,保留,升维思维分析,表层思维,中,中,高阶思维
南科大每日三技能点.md,2,角色,教育,考虑删除,每日技能点,非教育场景,低,高,特定场景
原子代理内容生成器.md,3,角色,AI工程,保留,原子内容生成,整体性内容,中,低,原子化
可供选择的文本优化方案.md,2,工具,优化,考虑删除,文本优化方案,固定格式,低,高,功能泛化
可复用的知识单元风格改写.md,3,工具,知识,保留,可复用知识改写,一次性知识,中,中,知识复用
可配置沟通助理.md,3,角色,沟通,保留,可配置沟通助理,固定沟通方式,中,低,沟通配置
哈佛超级学霸主题心得.md,2,角色,学习,考虑删除,哈佛学习心得,非学术场景,低,高,特定风格
哈佛超级学霸洞见.md,2,角色,学习,考虑删除,哈佛学习洞见,非学术场景,低,高,特定风格
图式思考.md,3,框架,思维,保留,图式思考分析,非结构化思维,中,中,图式理论
基于 CIS 架构的 ToT 扩展.md,3,框架,推理,保留,CIS+ToT扩展,简单推理,中,低,CIS架构
复杂性分析-分层抽象.md,3,框架,分析,保留,复杂性分析,简单内容,中,中,复杂性理论
多Agent自适应内容生成.md,3,角色,AI工程,保留,多Agent生成,单Agent场景,中,中,多Agent系统
大纲格式结构化笔记.md,3,工具,笔记,保留,大纲格式笔记,非笔记内容,中,中,大纲格式
奥美文案创意.md,2,角色,营销,考虑删除,奥美文案风格,非营销场景,低,高,特定风格
好莱坞编剧.md,2,角色,编剧,考虑删除,好莱坞编剧风格,非编剧场景,低,高,特定风格
如何有效地学习和传授知识.md,3,工具,学习,保留,学习与传授,非学习场景,中,中,学习方法
子弹笔记法核心原则.md,2,角色,笔记,考虑删除,子弹笔记法,非子弹笔记场景,低,高,特定方法论
学术情报分析师.md,4,角色,学术,保留,学术情报分析,非学术内容,高,低,学术专用
审视者角度更清晰高效.md,3,框架,思维,保留,审视者角度,非反思场景,中,中,反思角度
对文件夹进行语义分析.md,2,工具,分析,考虑删除,文件夹语义分析,单文件场景,低,高,特定场景
寻找捷径重新定义.md,2,框架,方法论,考虑删除,捷径寻找,标准路径场景,低,中,概念模糊
工程学思维通用提示词.md,3,角色,工程,保留,工程学思维,非工程场景,中,低,工程思维
常春藤盟校精英研究生风格转译.md,2,角色,风格,考虑删除,常春藤风格,非学术场景,低,高,特定风格
康奈尔笔记法.md,2,角色,笔记,考虑删除,康奈尔笔记法,非康奈尔笔记场景,低,高,特定方法论
建模分析.md,3,工具,分析,保留,建模分析,非建模场景,中,低,建模理论
引入名人名言.md,2,工具,文风,考虑删除,引入名言,客观内容,低,高,特定文风
归纳推理引擎.md,3,框架,推理,保留,归纳推理,非推理内容,中,中,归纳推理
心智模型-原子笔记.md,3,工具,笔记,保留,心智模型笔记,非笔记内容,中,中,心智模型
心理认知助手.md,3,角色,健康,保留,心理认知支持,非心理内容,中,低,心理学
快速内容价值评估.md,3,工具,评估,保留,快速价值评估,深度评估场景,中,中,快速评估
快速理解代码的实战提示词.md,3,技能,编程,保留,快速代码理解,非代码内容,中,低,代码理解
快速知识表cheatsheet.md,3,工具,知识,考虑合并到Cheat Sheet,快速知识表,非知识表,中,高,与Cheat Sheet重复
思想精炼与重塑.md,3,工具,思维,保留,思想精炼,具体操作,中,中,思维优化
思维导图大纲.md,2,工具,结构,考虑删除,思维导图大纲,非大纲场景,低,中,特定格式
思维炼金术士.md,2,角色,炼金,考虑删除,思维炼金,非炼金场景,低,高,概念模糊
技术术语表构建器.md,3,工具,术语,保留,技术术语表,非技术内容,中,低,技术专用
技术知识萃取专家.md,4,角色,技术,保留,技术知识萃取,非技术内容,高,低,知识萃取
抽象层次分析器.md,3,工具,分析,保留,抽象层次分析,具体内容,中,中,抽象层次
提问-通用思维模式-元认知式提问.md,3,框架,提问,保留,元认知提问,非提问场景,中,中,元认知
文本视觉优化专家.md,3,工具,视觉,保留,文本视觉优化,非文本内容,中,中,视觉优化
文章分析与续写.md,2,工具,写作,考虑删除,文章续写,非续写场景,低,中,特定功能
文章润色.md,2,工具,润色,考虑删除,文章润色,非文章内容,低,高,功能简单
无脑get重点的改写建议.md,2,工具,改写,考虑删除,重点改写,深度内容,低,中,特定场景
明确意图-沟通价值与可维护.md,3,框架,沟通,保留,明确意图,非沟通场景,中,中,沟通理论
智能笔记诊断师.md,3,角色,笔记,保留,笔记诊断,非笔记内容,中,低,笔记质量
最小当前代价.md,2,框架,优化,考虑删除,最小代价优化,非优化场景,低,中,特定场景
术语提取.md,2,工具,提取,考虑删除,术语提取,非术语内容,低,高,功能简单
李永乐老师风格逐字稿生成器-国际留学部版.md,2,角色,教育,考虑删除,李永乐风格,非教育场景,低,高,特定人物
条件性反射提问.md,3,框架,提问,保留,条件性提问,非条件场景,中,中,条件反射
极简主义技术文档专家.md,3,角色,文档,保留,极简文档,非文档场景,中,低,极简主义
极简版.md,2,工具,简化,考虑删除,极简版本,需要详细,低,高,功能简单
案例驱动学习系统.md,3,角色,学习,保留,案例驱动学习,非学习场景,中,中,案例学习
概念剖析机.md,3,工具,分析,保留,概念剖析,非概念内容,中,中,概念分析
概念压缩包.md,3,工具,知识,保留,概念压缩,非概念内容,中,中,知识压缩
模式调用-Plan then Execution.md,3,框架,执行,保留,计划-执行模式,即时执行,中,中,执行模式
求实型问题分析助手.md,3,角色,分析,保留,求实型分析,非分析场景,中,低,求实型
洞见提取器.md,3,工具,提取,保留,洞见提取,非洞见内容,中,中,洞见提取
深度复盘私人教练.md,4,框架,复盘,保留,深度复盘,非复盘场景,高,低,复盘专用
深度思考引路人.md,3,角色,思考,保留,深度思考,表层思考,中,中,深度思考
深度提问并Wiki回答.md,2,工具,提问,考虑删除,深度Wiki回答,非Wiki场景,低,高,特定场景
深度文本架构师.md,3,角色,文本,保留,深度文本架构,浅层文本,中,中,文本架构
深度研读与学术分析助手.md,3,角色,学术,保留,深度研读分析,非学术内容,中,中,学术分析
深度笔记精炼师.md,3,角色,笔记,保留,深度笔记精炼,非笔记内容,中,中,笔记精炼
深度系统架构师.md,3,角色,架构,保留,深度系统架构,非架构内容,中,低,系统架构
清晰化表达.md,3,工具,表达,保留,清晰化表达,非表达场景,中,中,表达优化
清晰度审计与重构器.md,3,工具,审计,保留,清晰度审计重构,非审计场景,中,中,清晰度
演示文稿结构化重构器.md,2,工具,演示,考虑删除,演示文稿重构,非演示场景,低,中,特定场景
演示文稿设计师.md,2,角色,设计,考虑删除,演示文稿设计,非演示场景,低,高,特定角色
点睛之笔.md,2,工具,润色,考虑删除,点睛之笔,非润色场景,低,中,特定功能
炼金术士.md,2,角色,炼金,考虑删除,知识炼金,非炼金场景,低,高,概念模糊
狐狸博士教师型AI.md,0,角色,空文件,删除,不存在,不存在,低,高,空文件
独立开发者兼产品创意.md,3,角色,创业,保留,独立开发者,非创业场景,中,低,创业专用
独立理解重构.md,3,工具,理解,保留,独立理解重构,非重构场景,中,中,理解重构
电梯游说法.md,2,角色,演讲,考虑删除,电梯游说,非演讲场景,低,中,特定场景
目标导向的跨文化转译器.md,2,角色,转译,考虑删除,跨文化转译,单一文化场景,低,中,特定场景
真专家特质.md,2,角色,特质,考虑删除,真专家特质,非专家场景,低,高,概念模糊
知识产品设计师.md,3,角色,产品,保留,知识产品设计,非产品场景,中,中,知识产品
知识图谱构建分析师.md,3,角色,知识,保留,知识图谱构建,非图谱场景,中,中,知识图谱
知识探索蓝图生成器.md,3,工具,知识,保留,知识探索蓝图,固定知识场景,中,中,知识探索
知识架构师.md,3,角色,知识,合并到高级版,基础知识架构,深度架构,中,高,被高级版覆盖
知识架构师：对笔记进行深度重构与升华.md,5,角色,知识,保留,深度知识架构,快速信息,高,低,最完整架构师
知识架构顾问-Fits-in核查.md,4,角色,知识,保留,Fits-in核查,非知识体系,高,中,知识嵌入评估
知识爆破手.md,3,角色,知识,保留,知识爆破,非知识场景,中,低,知识激活
知识精炼.md,3,工具,知识,保留,知识精炼,非知识场景,中,中,知识处理
知识蒸馏架构师.md,3,角色,知识,保留,知识蒸馏,非知识场景,中,中,知识蒸馏
知识解构.md,3,工具,知识,保留,知识解构,非知识场景,中,中,知识解构
知识重构工程师.md,3,角色,知识,保留,知识重构,非知识场景,中,中,知识重构
硅谷技术布道师.md,2,角色,布道,考虑删除,技术布道,非布道场景,低,高,特定角色
科学记忆阅读法助手.md,3,角色,学习,保留,科学记忆阅读,非学习场景,中,中,科学记忆
笔记元数据生成器.md,2,工具,元数据,考虑删除,元数据生成,非元数据场景,低,高,功能简单
笔记反向工程分析师.md,3,工具,笔记,保留,笔记反向工程,非笔记内容,中,中,笔记分析
笔记标题生成器.md,2,工具,生成,考虑删除,标题生成,非标题场景,低,高,功能简单
笔记核心要点速览.md,3,工具,笔记,保留,核心要点速览,详细分析场景,中,中,核心要点
笔记模块化-正交设计原则.md,3,框架,设计,保留,笔记模块化,非笔记内容,中,中,模块化设计
笔记深度重构与洞察提取.md,3,角色,笔记,保留,深度重构洞察,非笔记内容,中,中,笔记重构
笔记结构化处理器.md,3,工具,笔记,保留,结构化处理,非笔记内容,中,中,结构化
笔记评估打分工具.md,2,工具,评估,考虑删除,笔记评估打分,非笔记场景,低,中,特定功能
笔记降熵重构.md,3,工具,笔记,保留,降熵重构,非笔记内容,中,中,降熵理论
符号标注.md,2,工具,标注,考虑删除,符号标注,无符号需求,低,中,特定场景
第一性原理思考者.md,3,框架,思维,保留,第一性原理思考,具体问题,中,中,第一性原理
策略结晶采集器.md,3,工具,策略,保留,策略结晶,非策略场景,中,中,策略提取
精益生产Lean Manufacturing.md,2,角色,生产,考虑删除,精益生产,非生产场景,低,高,特定领域
精英思维重塑者-万维钢.md,2,角色,具体人物,考虑删除,万维钢视角,非万维钢相关,低,高,特定人物
系统化提问.md,3,框架,提问,保留,系统化提问,非系统内容,中,中,系统思维
系统思考架构师.md,4,角色,系统,保留,系统思考架构,非系统场景,高,低,系统思考
系统架构演进.md,3,角色,架构,保留,系统架构演进,非架构场景,中,低,架构演进
红队逻辑审计师.md,4,框架,审计,保留,红队逻辑审计,非审计场景,高,中,红队思维
结构化思维专家.md,4,框架,思维,保留,结构化思维,非结构化思维,高,中,结构化理论
结构化拆解能力-Task Grpah建模(工程,战略,心理三维视角).md,3,框架,拆解,保留,三维拆解,简单拆解,中,低,特定建模
脱口秀喜剧演员.md,2,角色,喜剧,考虑删除,喜剧风格,非喜剧场景,低,高,特定风格
自动化方案设计助手.md,3,角色,自动化,保留,自动化方案,非自动化场景,中,低,自动化
自定义风格OKR设计.md,2,角色,管理,考虑删除,OKR设计,非OKR场景,低,中,特定方法
自定义风格写作编辑.md,3,角色,写作,保留,自定义风格写作,固定风格,中,中,自定义写作
苏格拉底式极限提问.md,3,框架,提问,合并到交互式版本,极限提问,常规提问,中,高,被交互式版本覆盖
苏格拉底式提问.md,5,框架,提问,保留,五维思维审计,表层信息,高,中,核心框架
苏格拉底提问法：深度学习引擎.md,3,框架,提问,合并到交互式版本,深度学习引擎,非学习场景,中,高,被交互式版本覆盖
苏菲式认知重构元提示词.md,3,角色,AI工程,合并到元提示词生成器,认知重构,非重构场景,中,中,认知重构
英文严谨性表达理论框架.md,2,角色,语言,考虑删除,英文严谨表达,非英文内容,低,高,特定语言
西方职场VP-Anti-Fluff英文风格.md,2,角色,风格,考虑删除,VP英文风格,非英文职场,低,高,特定风格
认知审计员 (Cognitive Auditor).md,3,角色,审计,保留,认知审计,非审计场景,中,中,认知审计
认知炼金术士模拟器.md,2,角色,炼金,考虑删除,认知炼金,非炼金场景,低,高,概念模糊
认知解构师 Adrian Morris.md,2,角色,具体人物,考虑删除,Adrian Morris视角,非相关内容,低,高,特定人物
认知追问框架.md,3,框架,追问,保留,认知追问,非追问场景,中,中,追问理论
认知降噪专家.md,4,角色,信息处理,保留,认知降噪,非信息过滤,高,中,信息过滤
记忆增强专家.md,3,角色,记忆,保留,记忆增强,非记忆场景,中,低,记忆理论
记忆测验-选择与论述.md,3,工具,测试,保留,记忆测验,非测试场景,中,中,记忆测试
论题与结论.md,2,工具,分析,考虑删除,论题结论分析,非逻辑场景,低,中,功能简单
证伪分析提示词.md,3,框架,分析,保留,证伪分析,非分析场景,中,中,证伪理论
语义压缩高价值内容提取器.md,3,工具,提取,保留,语义压缩提取,非压缩场景,中,中,语义压缩
语义建模与知识工程专家.md,3,角色,知识,保留,语义建模,非建模场景,中,中,语义建模
费曼与第一性原理笔记精简.md,3,工具,笔记,保留,费曼第一原理精简,非笔记场景,中,中,费曼+第一性原理
费曼学习法教学专家.md,5,角色,教学,保留,费曼教学,非教学场景,高,低,费曼技术
资深文本挖掘与知识管理专家.md,3,角色,知识,保留,文本挖掘知识管理,非知识场景,中,中,文本挖掘
跨学科审核校对.md,3,角色,审阅,保留,跨学科审阅,单一学科,中,中,跨学科
跨界策略顾问模式.md,3,角色,策略,保留,跨界策略,单一领域,中,中,跨界思维
转译.md,2,工具,翻译,考虑删除,内容转译,非转译场景,低,高,功能简单
追问式提问.md,3,框架,提问,保留,追问式提问,非追问场景,中,中,追问理论
退后提示 (Step-back Prompting).md,3,框架,思维,保留,退后思考,具体执行,中,中,退后思维
适时追问.md,2,工具,追问,考虑删除,适时追问,非追问场景,低,高,功能简单
逻辑审计流水线.md,4,框架,审计,保留,逻辑审计流水线,非审计场景,高,低,逻辑审计
长青笔记重构器.md,3,工具,笔记,保留,长青笔记重构,非笔记场景,中,中,长青笔记
闪卡制作.md,3,工具,闪卡,合并到Anki闪卡生成器,闪卡制作,非闪卡场景,中,高,被专业版覆盖
领域专家.md,3,角色,专家,保留,领域专家咨询,非专家场景,中,低,通用专家
首席战略官.md,3,角色,管理,合并到首席战略架构师,战略规划,非战略场景,中,高,被高级版覆盖
首席战略架构师.md,5,角色,管理,保留,战略架构,非战略场景,高,低,最完整战略架构师
首席技术专家.md,5,角色,技术,保留,技术专家,非技术场景,高,低,最完整技术专家
首席智库专家.md,3,角色,智库,保留,智库专家,非智库场景,中,低,智库咨询
首席逻辑官.md,4,角色,逻辑,保留,首席逻辑,非逻辑场景,高,低,逻辑审计
香港 DSE 顶流补习名师.md,2,角色,教育,考虑删除,DSE补习,非DSE场景,低,高,特定地区
香港科技企业沟通专家.md,2,角色,沟通,考虑删除,香港科技沟通,非香港场景,低,高,特定地区
高效学习卡片生成器.md,3,工具,学习,保留,高效学习卡片,非学习场景,中,中,学习卡片
高级学术研究与分析系统.md,4,角色,学术,保留,高级学术研究,非学术场景,高,低,学术研究系统
_Index_of_copilot-custom-prompts.md,5,系统,索引,保留,自动生成的索引文件,N/A,高,低,Zoottelkeeper生成
.md,0,系统,空文件,删除,不存在的空文件,N/A,低,高,需要删除
